AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,n_Samples,n_Years,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Min_Assess_Period_Yrs,Minimum number of data points,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,18,1,Marine,,Primary Contact Recreation,,2 years,2,10,10,No,Yes,No
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,"TEMPERATURE, WATER",DEG C,64,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,"TEMPERATURE, WATER",DEG C,12,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,NICKEL,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,NICKEL,UG/L,16,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,NICKEL,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_002,Ocean,Marine,PH,,35,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,PH,,35,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,PH,,35,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,PH,,35,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,"TEMPERATURE, WATER",DEG C,35,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021109_002,Ocean,Marine,ZINC,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,ZINC,UG/L,16,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_002,Ocean,Marine,ZINC,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_005,Ocean,Marine,COPPER,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,COPPER,UG/L,24,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,COPPER,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,48,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,48,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,48,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,48,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,51,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,51,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,51,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,51,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,51,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,NICKEL,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,NICKEL,UG/L,24,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,NICKEL,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,PH,,48,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,PH,,48,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,PH,,48,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,PH,,48,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,"TEMPERATURE, WATER",DEG C,48,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021109_005,Ocean,Marine,ZINC,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,ZINC,UG/L,24,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021109_005,Ocean,Marine,ZINC,UG/L,24,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021109_010,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021109_010,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,10,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,10,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,10,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,10,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,No,No
AK_M_1021109_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021109_010,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021109_010,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021109_010,Ocean,Marine,PH,,10,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,PH,,10,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,PH,,10,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,PH,,10,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021109_010,Ocean,Marine,"TEMPERATURE, WATER",DEG C,10,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021109_010,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021109_010,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021109_010,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021201_001,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021201_001,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021201_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Water Supply,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021201_001,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021201_001,Ocean,Marine,PH,,8,2,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,PH,,8,2,Marine,,Water Supply,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,PH,,8,2,Marine,,Aquatic Life,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,PH,,8,2,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,"TEMPERATURE, WATER",DEG C,8,2,Marine,,Water Supply,,,,,,,,No
AK_M_1021201_001,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021201_001,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,No,No
AK_M_1021201_001,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021211_005,Ocean,Marine,COPPER,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,COPPER,UG/L,18,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,COPPER,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,36,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,36,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,36,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,36,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,NICKEL,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,NICKEL,UG/L,18,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,NICKEL,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,PH,,36,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,PH,,36,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,PH,,36,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,PH,,36,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,"TEMPERATURE, WATER",DEG C,36,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021211_005,Ocean,Marine,ZINC,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,ZINC,UG/L,18,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_005,Ocean,Marine,ZINC,UG/L,18,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021211_007,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021211_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Aquatic Life,,2 water years,2,20,20,Yes,No,No
AK_M_1021211_007,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Water Supply,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Secondary Contact Recreation,,2 water years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,FECAL COLIFORM,MPN/100ML,13,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021211_007,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021211_007,Ocean,Marine,PH,,12,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,PH,,12,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,PH,,12,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,PH,,12,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,"TEMPERATURE, WATER",DEG C,12,3,Marine,,Water Supply,,,,,,,,No
AK_M_1021211_007,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,No,No
AK_M_1021211_007,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021211_007,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021212_012,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021212_012,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Acute,2 years,2,5,5,Yes,Yes,Yes
AK_M_1021212_012,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,2,18,18,Yes,No,No
AK_M_1021212_012,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Water Supply,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021212_012,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Primary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021212_012,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Secondary Contact Recreation,,2 years,2,10,10,Yes,Yes,Yes
AK_M_1021212_012,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Aquatic Life,,2 years,2,10,10,Yes,Yes,Yes
