"AUID_ATTNS","ActivityStartDate","TADA.CharacteristicName","n"
"AK_R_1010504_005",2018-09-05,"BARIUM",2
"AK_R_1010504_005",2018-09-05,"BERYLLIUM",2
"AK_R_1010504_005",2018-09-05,"CADMIUM",2
"AK_R_1010504_005",2018-09-05,"CALCIUM",2
"AK_R_1010504_005",2018-09-05,"CHROMIUM",2
"AK_R_1010504_005",2018-09-05,"COBALT",2
"AK_R_1010504_005",2018-09-05,"COPPER",2
"AK_R_1010504_005",2018-09-05,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2018-09-05,"HEIGHT, GAGE",2
"AK_R_1010504_005",2018-09-05,"IRON",2
"AK_R_1010504_005",2018-09-05,"LEAD",2
"AK_R_1010504_005",2018-09-05,"LITHIUM",2
"AK_R_1010504_005",2018-09-05,"MAGNESIUM",2
"AK_R_1010504_005",2018-09-05,"MANGANESE",2
"AK_R_1010504_005",2018-09-05,"MERCURY",2
"AK_R_1010504_005",2018-09-05,"MOLYBDENUM",2
"AK_R_1010504_005",2018-09-05,"NICKEL",2
"AK_R_1010504_005",2018-09-05,"NITRATE",2
"AK_R_1010504_005",2018-09-05,"NITRITE",2
"AK_R_1010504_005",2018-09-05,"ORGANIC CARBON",2
"AK_R_1010504_005",2018-09-05,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2018-09-05,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2018-09-05,"PH",2
"AK_R_1010504_005",2018-09-05,"POTASSIUM",2
"AK_R_1010504_005",2018-09-05,"SEDIMENT",3
"AK_R_1010504_005",2018-09-05,"SELENIUM",2
"AK_R_1010504_005",2018-09-05,"SILVER",2
"AK_R_1010504_005",2018-09-05,"SODIUM",2
"AK_R_1010504_005",2018-09-05,"SPECIFIC CONDUCTANCE",2
"AK_R_1010504_005",2018-09-05,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2018-09-05,"STRONTIUM",2
"AK_R_1010504_005",2018-09-05,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2018-09-05,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2018-09-05,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2018-09-05,"ZINC",2
"AK_R_1010504_005",2018-12-04,"ACIDITY, (H+)",6
"AK_R_1010504_005",2018-12-04,"ALKALINITY",2
"AK_R_1010504_005",2018-12-04,"ALUMINUM",2
"AK_R_1010504_005",2018-12-04,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2018-12-04,"ARSENIC",2
"AK_R_1010504_005",2018-12-04,"BARIUM",2
"AK_R_1010504_005",2018-12-04,"BAROMETRIC PRESSURE",2
"AK_R_1010504_005",2018-12-04,"BERYLLIUM",2
"AK_R_1010504_005",2018-12-04,"CADMIUM",2
"AK_R_1010504_005",2018-12-04,"CALCIUM",2
"AK_R_1010504_005",2018-12-04,"CHROMIUM",2
"AK_R_1010504_005",2018-12-04,"COBALT",2
"AK_R_1010504_005",2018-12-04,"COPPER",2
"AK_R_1010504_005",2018-12-04,"DISSOLVED OXYGEN (DO)",6
"AK_R_1010504_005",2018-12-04,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2018-12-04,"HEIGHT, GAGE",2
"AK_R_1010504_005",2018-12-04,"IRON",2
"AK_R_1010504_005",2018-12-04,"LEAD",2
"AK_R_1010504_005",2018-12-04,"LITHIUM",2
"AK_R_1010504_005",2018-12-04,"MAGNESIUM",2
"AK_R_1010504_005",2018-12-04,"MANGANESE",2
"AK_R_1010504_005",2018-12-04,"MERCURY",2
"AK_R_1010504_005",2018-12-04,"MOLYBDENUM",2
"AK_R_1010504_005",2018-12-04,"NICKEL",2
"AK_R_1010504_005",2018-12-04,"NITRATE",2
"AK_R_1010504_005",2018-12-04,"NITRITE",2
"AK_R_1010504_005",2018-12-04,"ORGANIC CARBON",2
"AK_R_1010504_005",2018-12-04,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2018-12-04,"PH",7
"AK_R_1010504_005",2018-12-04,"POTASSIUM",2
"AK_R_1010504_005",2018-12-04,"SEDIMENT",3
"AK_R_1010504_005",2018-12-04,"SELENIUM",2
"AK_R_1010504_005",2018-12-04,"SILVER",2
"AK_R_1010504_005",2018-12-04,"SODIUM",2
"AK_R_1010504_005",2018-12-04,"SPECIFIC CONDUCTANCE",7
"AK_R_1010504_005",2018-12-04,"STREAM FLOW, INSTANTANEOUS",4
"AK_R_1010504_005",2018-12-04,"STRONTIUM",2
"AK_R_1010504_005",2018-12-04,"TEMPERATURE, AIR, DEG C",2
"AK_R_1010504_005",2018-12-04,"TEMPERATURE, WATER",6
"AK_R_1010504_005",2018-12-04,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2018-12-04,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2018-12-04,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2018-12-04,"TURBIDITY",7
"AK_R_1010504_005",2018-12-04,"ZINC",2
"AK_R_1010504_005",2019-02-05,"ALKALINITY",2
"AK_R_1010504_005",2019-02-05,"ALUMINUM",2
"AK_R_1010504_005",2019-02-05,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-02-05,"ARSENIC",2
"AK_R_1010504_005",2019-02-05,"BARIUM",2
"AK_R_1010504_005",2019-02-05,"BERYLLIUM",2
"AK_R_1010504_005",2019-02-05,"CADMIUM",2
"AK_R_1010504_005",2019-02-05,"CALCIUM",2
"AK_R_1010504_005",2019-02-05,"CHROMIUM",2
"AK_R_1010504_005",2019-02-05,"COBALT",2
"AK_R_1010504_005",2019-02-05,"COPPER",2
"AK_R_1010504_005",2019-02-05,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-02-05,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-02-05,"IRON",2
"AK_R_1010504_005",2019-02-05,"LEAD",2
"AK_R_1010504_005",2019-02-05,"LITHIUM",2
"AK_R_1010504_005",2019-02-05,"MAGNESIUM",2
"AK_R_1010504_005",2019-02-05,"MANGANESE",2
"AK_R_1010504_005",2019-02-05,"MERCURY",2
"AK_R_1010504_005",2019-02-05,"MOLYBDENUM",2
"AK_R_1010504_005",2019-02-05,"NICKEL",2
"AK_R_1010504_005",2019-02-05,"NITRATE",2
"AK_R_1010504_005",2019-02-05,"NITRITE",2
"AK_R_1010504_005",2019-02-05,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-02-05,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-02-05,"PH",2
"AK_R_1010504_005",2019-02-05,"POTASSIUM",2
"AK_R_1010504_005",2019-02-05,"SEDIMENT",3
"AK_R_1010504_005",2019-02-05,"SELENIUM",2
"AK_R_1010504_005",2019-02-05,"SILVER",2
"AK_R_1010504_005",2019-02-05,"SODIUM",2
"AK_R_1010504_005",2019-02-05,"SPECIFIC CONDUCTANCE",2
"AK_R_1010504_005",2019-02-05,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-02-05,"STRONTIUM",2
"AK_R_1010504_005",2019-02-05,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-02-05,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2019-02-05,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-02-05,"ZINC",2
"AK_R_1010504_005",2019-03-05,"ACIDITY, (H+)",10
"AK_R_1010504_005",2019-03-05,"ALKALINITY",2
"AK_R_1010504_005",2019-03-05,"ALUMINUM",2
"AK_R_1010504_005",2019-03-05,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-03-05,"ARSENIC",2
"AK_R_1010504_005",2019-03-05,"BARIUM",2
"AK_R_1010504_005",2019-03-05,"BERYLLIUM",2
"AK_R_1010504_005",2019-03-05,"CADMIUM",2
"AK_R_1010504_005",2019-03-05,"CALCIUM",2
"AK_R_1010504_005",2019-03-05,"CHROMIUM",2
"AK_R_1010504_005",2019-03-05,"COBALT",2
"AK_R_1010504_005",2019-03-05,"COPPER",2
"AK_R_1010504_005",2019-03-05,"DISSOLVED OXYGEN (DO)",10
"AK_R_1010504_005",2019-03-05,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-03-05,"IRON",2
"AK_R_1010504_005",2019-03-05,"LEAD",2
"AK_R_1010504_005",2019-03-05,"LITHIUM",2
"AK_R_1010504_005",2019-03-05,"MAGNESIUM",2
"AK_R_1010504_005",2019-03-05,"MANGANESE",2
"AK_R_1010504_005",2019-03-05,"MERCURY",2
"AK_R_1010504_005",2019-03-05,"MOLYBDENUM",2
"AK_R_1010504_005",2019-03-05,"NICKEL",2
"AK_R_1010504_005",2019-03-05,"NITRATE",2
"AK_R_1010504_005",2019-03-05,"NITRITE",2
"AK_R_1010504_005",2019-03-05,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-03-05,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-03-05,"PH",11
"AK_R_1010504_005",2019-03-05,"POTASSIUM",2
"AK_R_1010504_005",2019-03-05,"SEDIMENT",3
"AK_R_1010504_005",2019-03-05,"SELENIUM",2
"AK_R_1010504_005",2019-03-05,"SILVER",2
"AK_R_1010504_005",2019-03-05,"SODIUM",2
"AK_R_1010504_005",2019-03-05,"SPECIFIC CONDUCTANCE",11
"AK_R_1010504_005",2019-03-05,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-03-05,"STRONTIUM",2
"AK_R_1010504_005",2019-03-05,"TEMPERATURE, WATER",10
"AK_R_1010504_005",2019-03-05,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-03-05,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2019-03-05,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-03-05,"TURBIDITY",11
"AK_R_1010504_005",2019-03-05,"ZINC",2
"AK_R_1010504_005",2019-03-28,"ACIDITY, (H+)",6
"AK_R_1010504_005",2019-03-28,"ALKALINITY",2
"AK_R_1010504_005",2019-03-28,"ALUMINUM",2
"AK_R_1010504_005",2019-03-28,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-03-28,"ARSENIC",2
"AK_R_1010504_005",2019-03-28,"BARIUM",2
"AK_R_1010504_005",2019-03-28,"BAROMETRIC PRESSURE",2
"AK_R_1010504_005",2019-03-28,"BERYLLIUM",2
"AK_R_1010504_005",2019-03-28,"CADMIUM",2
"AK_R_1010504_005",2019-03-28,"CALCIUM",2
"AK_R_1010504_005",2019-03-28,"CHROMIUM",2
"AK_R_1010504_005",2019-03-28,"COBALT",2
"AK_R_1010504_005",2019-03-28,"COPPER",2
"AK_R_1010504_005",2019-03-28,"DISSOLVED OXYGEN (DO)",6
"AK_R_1010504_005",2019-03-28,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-03-28,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-03-28,"IRON",2
"AK_R_1010504_005",2019-03-28,"LEAD",2
"AK_R_1010504_005",2019-03-28,"LITHIUM",2
"AK_R_1010504_005",2019-03-28,"MAGNESIUM",2
"AK_R_1010504_005",2019-03-28,"MANGANESE",2
"AK_R_1010504_005",2019-03-28,"MERCURY",2
"AK_R_1010504_005",2019-03-28,"MOLYBDENUM",2
"AK_R_1010504_005",2019-03-28,"NICKEL",2
"AK_R_1010504_005",2019-03-28,"NITRATE",2
"AK_R_1010504_005",2019-03-28,"NITRITE",2
"AK_R_1010504_005",2019-03-28,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-03-28,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-03-28,"PH",7
"AK_R_1010504_005",2019-03-28,"POTASSIUM",2
"AK_R_1010504_005",2019-03-28,"SEDIMENT",3
"AK_R_1010504_005",2019-03-28,"SELENIUM",2
"AK_R_1010504_005",2019-03-28,"SILVER",2
"AK_R_1010504_005",2019-03-28,"SODIUM",2
"AK_R_1010504_005",2019-03-28,"SPECIFIC CONDUCTANCE",7
"AK_R_1010504_005",2019-03-28,"STREAM FLOW, INSTANTANEOUS",4
"AK_R_1010504_005",2019-03-28,"STRONTIUM",2
"AK_R_1010504_005",2019-03-28,"TEMPERATURE, WATER",6
"AK_R_1010504_005",2019-03-28,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-03-28,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2019-03-28,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-03-28,"TURBIDITY",6
"AK_R_1010504_005",2019-03-28,"ZINC",2
"AK_R_1010504_005",2019-05-06,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-05-06,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-05-09,"ACIDITY, (H+)",4
"AK_R_1010504_005",2019-05-09,"ALKALINITY",2
"AK_R_1010504_005",2019-05-09,"ALUMINUM",2
"AK_R_1010504_005",2019-05-09,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-05-09,"ARSENIC",2
"AK_R_1010504_005",2019-05-09,"BARIUM",2
"AK_R_1010504_005",2019-05-09,"BERYLLIUM",2
"AK_R_1010504_005",2019-05-09,"CADMIUM",2
"AK_R_1010504_005",2019-05-09,"CALCIUM",2
"AK_R_1010504_005",2019-05-09,"CHROMIUM",2
"AK_R_1010504_005",2019-05-09,"COBALT",2
"AK_R_1010504_005",2019-05-09,"COPPER",2
"AK_R_1010504_005",2019-05-09,"DISSOLVED OXYGEN (DO)",4
"AK_R_1010504_005",2019-05-09,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-05-09,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-05-09,"IRON",2
"AK_R_1010504_005",2019-05-09,"LEAD",2
"AK_R_1010504_005",2019-05-09,"LITHIUM",2
"AK_R_1010504_005",2019-05-09,"MAGNESIUM",2
"AK_R_1010504_005",2019-05-09,"MANGANESE",2
"AK_R_1010504_005",2019-05-09,"MERCURY",2
"AK_R_1010504_005",2019-05-09,"MOLYBDENUM",2
"AK_R_1010504_005",2019-05-09,"NICKEL",2
"AK_R_1010504_005",2019-05-09,"NITRATE",2
"AK_R_1010504_005",2019-05-09,"NITRITE",2
"AK_R_1010504_005",2019-05-09,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-05-09,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2019-05-09,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-05-09,"PH",5
"AK_R_1010504_005",2019-05-09,"POTASSIUM",2
"AK_R_1010504_005",2019-05-09,"SEDIMENT",3
"AK_R_1010504_005",2019-05-09,"SELENIUM",2
"AK_R_1010504_005",2019-05-09,"SILVER",2
"AK_R_1010504_005",2019-05-09,"SODIUM",2
"AK_R_1010504_005",2019-05-09,"SPECIFIC CONDUCTANCE",5
"AK_R_1010504_005",2019-05-09,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-05-09,"STRONTIUM",2
"AK_R_1010504_005",2019-05-09,"TEMPERATURE, WATER",4
"AK_R_1010504_005",2019-05-09,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-05-09,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2019-05-09,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-05-09,"TURBIDITY",5
"AK_R_1010504_005",2019-05-09,"ZINC",2
"AK_R_1010504_005",2019-06-04,"ACIDITY, (H+)",5
"AK_R_1010504_005",2019-06-04,"ALKALINITY",2
"AK_R_1010504_005",2019-06-04,"ALUMINUM",2
"AK_R_1010504_005",2019-06-04,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-06-04,"ARSENIC",2
"AK_R_1010504_005",2019-06-04,"BARIUM",2
"AK_R_1010504_005",2019-06-04,"BERYLLIUM",2
"AK_R_1010504_005",2019-06-04,"CADMIUM",2
"AK_R_1010504_005",2019-06-04,"CALCIUM",2
"AK_R_1010504_005",2019-06-04,"CHROMIUM",2
"AK_R_1010504_005",2019-06-04,"COBALT",2
"AK_R_1010504_005",2019-06-04,"COLORED DISSOLVED ORGANIC MATTER (CDOM)",9
"AK_R_1010504_005",2019-06-04,"COPPER",2
"AK_R_1010504_005",2019-06-04,"DISSOLVED OXYGEN (DO)",5
"AK_R_1010504_005",2019-06-04,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-06-04,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-06-04,"IRON",2
"AK_R_1010504_005",2019-06-04,"LEAD",2
"AK_R_1010504_005",2019-06-04,"LITHIUM",2
"AK_R_1010504_005",2019-06-04,"MAGNESIUM",2
"AK_R_1010504_005",2019-06-04,"MANGANESE",2
"AK_R_1010504_005",2019-06-04,"MERCURY",2
"AK_R_1010504_005",2019-06-04,"MOLYBDENUM",2
"AK_R_1010504_005",2019-06-04,"NICKEL",2
"AK_R_1010504_005",2019-06-04,"NITRATE",2
"AK_R_1010504_005",2019-06-04,"NITRITE",2
"AK_R_1010504_005",2019-06-04,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-06-04,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2019-06-04,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-06-04,"PH",6
"AK_R_1010504_005",2019-06-04,"POTASSIUM",2
"AK_R_1010504_005",2019-06-04,"SEDIMENT",4
"AK_R_1010504_005",2019-06-04,"SELENIUM",2
"AK_R_1010504_005",2019-06-04,"SILVER",2
"AK_R_1010504_005",2019-06-04,"SODIUM",2
"AK_R_1010504_005",2019-06-04,"SPECIFIC CONDUCTANCE",6
"AK_R_1010504_005",2019-06-04,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-06-04,"STRONTIUM",2
"AK_R_1010504_005",2019-06-04,"TEMPERATURE, WATER",5
"AK_R_1010504_005",2019-06-04,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-06-04,"TOTAL NITROGEN, MIXED FORMS",4
"AK_R_1010504_005",2019-06-04,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-06-04,"TURBIDITY",6
"AK_R_1010504_005",2019-06-04,"ZINC",2
"AK_R_1010504_005",2019-07-16,"ACIDITY, (H+)",6
"AK_R_1010504_005",2019-07-16,"ALKALINITY",2
"AK_R_1010504_005",2019-07-16,"ALUMINUM",2
"AK_R_1010504_005",2019-07-16,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-07-16,"ARSENIC",2
"AK_R_1010504_005",2019-07-16,"BARIUM",2
"AK_R_1010504_005",2019-07-16,"BAROMETRIC PRESSURE",2
"AK_R_1010504_005",2019-07-16,"BERYLLIUM",2
"AK_R_1010504_005",2019-07-16,"CADMIUM",2
"AK_R_1010504_005",2019-07-16,"CALCIUM",2
"AK_R_1010504_005",2019-07-16,"CHROMIUM",2
"AK_R_1010504_005",2019-07-16,"COBALT",2
"AK_R_1010504_005",2019-07-16,"COLORED DISSOLVED ORGANIC MATTER (CDOM)",10
"AK_R_1010504_005",2019-07-16,"COPPER",2
"AK_R_1010504_005",2019-07-16,"DISSOLVED OXYGEN (DO)",6
"AK_R_1010504_005",2019-07-16,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-07-16,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-07-16,"INORGANIC CARBON",2
"AK_R_1010504_005",2019-07-16,"IRON",2
"AK_R_1010504_005",2019-07-16,"LEAD",2
"AK_R_1010504_005",2019-07-16,"LITHIUM",2
"AK_R_1010504_005",2019-07-16,"MAGNESIUM",2
"AK_R_1010504_005",2019-07-16,"MANGANESE",2
"AK_R_1010504_005",2019-07-16,"MERCURY",2
"AK_R_1010504_005",2019-07-16,"MOLYBDENUM",2
"AK_R_1010504_005",2019-07-16,"NICKEL",2
"AK_R_1010504_005",2019-07-16,"NITRATE",2
"AK_R_1010504_005",2019-07-16,"NITRITE",2
"AK_R_1010504_005",2019-07-16,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-07-16,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2019-07-16,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-07-16,"PH",7
"AK_R_1010504_005",2019-07-16,"POTASSIUM",2
"AK_R_1010504_005",2019-07-16,"SEDIMENT",4
"AK_R_1010504_005",2019-07-16,"SELENIUM",2
"AK_R_1010504_005",2019-07-16,"SILVER",2
"AK_R_1010504_005",2019-07-16,"SODIUM",2
"AK_R_1010504_005",2019-07-16,"SPECIFIC CONDUCTANCE",7
"AK_R_1010504_005",2019-07-16,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-07-16,"STRONTIUM",2
"AK_R_1010504_005",2019-07-16,"TEMPERATURE, WATER",6
"AK_R_1010504_005",2019-07-16,"THALLIUM",2
"AK_R_1010504_005",2019-07-16,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-07-16,"TOTAL NITROGEN, MIXED FORMS",5
"AK_R_1010504_005",2019-07-16,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-07-16,"TURBIDITY",6
"AK_R_1010504_005",2019-07-16,"ZINC",2
"AK_R_1010504_005",2019-08-27,"ALKALINITY",2
"AK_R_1010504_005",2019-08-27,"ALUMINUM",2
"AK_R_1010504_005",2019-08-27,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-08-27,"ARSENIC",2
"AK_R_1010504_005",2019-08-27,"BARIUM",2
"AK_R_1010504_005",2019-08-27,"BERYLLIUM",2
"AK_R_1010504_005",2019-08-27,"CADMIUM",2
"AK_R_1010504_005",2019-08-27,"CALCIUM",2
"AK_R_1010504_005",2019-08-27,"CHROMIUM",2
"AK_R_1010504_005",2019-08-27,"COBALT",2
"AK_R_1010504_005",2019-08-27,"COPPER",2
"AK_R_1010504_005",2019-08-27,"HARDNESS, NON-CARBONATE",2
"AK_R_1010504_005",2019-08-27,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-08-27,"INORGANIC CARBON",2
"AK_R_1010504_005",2019-08-27,"IRON",2
"AK_R_1010504_005",2019-08-27,"LEAD",2
"AK_R_1010504_005",2019-08-27,"LITHIUM",2
"AK_R_1010504_005",2019-08-27,"MAGNESIUM",2
"AK_R_1010504_005",2019-08-27,"MANGANESE",2
"AK_R_1010504_005",2019-08-27,"MERCURY",2
"AK_R_1010504_005",2019-08-27,"MOLYBDENUM",2
"AK_R_1010504_005",2019-08-27,"NICKEL",2
"AK_R_1010504_005",2019-08-27,"NITRATE",2
"AK_R_1010504_005",2019-08-27,"NITRITE",2
"AK_R_1010504_005",2019-08-27,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-08-27,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2019-08-27,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-08-27,"PH",2
"AK_R_1010504_005",2019-08-27,"POTASSIUM",2
"AK_R_1010504_005",2019-08-27,"SEDIMENT",4
"AK_R_1010504_005",2019-08-27,"SELENIUM",2
"AK_R_1010504_005",2019-08-27,"SILVER",2
"AK_R_1010504_005",2019-08-27,"SODIUM",2
"AK_R_1010504_005",2019-08-27,"SPECIFIC CONDUCTANCE",2
"AK_R_1010504_005",2019-08-27,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-08-27,"STRONTIUM",2
"AK_R_1010504_005",2019-08-27,"THALLIUM",2
"AK_R_1010504_005",2019-08-27,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-08-27,"TOTAL NITROGEN, MIXED FORMS",5
"AK_R_1010504_005",2019-08-27,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-08-27,"ZINC",2
"AK_R_1010504_005",2019-09-17,"ACIDITY, (H+)",5
"AK_R_1010504_005",2019-09-17,"ALUMINUM",2
"AK_R_1010504_005",2019-09-17,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-09-17,"ARSENIC",2
"AK_R_1010504_005",2019-09-17,"BARIUM",2
"AK_R_1010504_005",2019-09-17,"BERYLLIUM",2
"AK_R_1010504_005",2019-09-17,"CADMIUM",2
"AK_R_1010504_005",2019-09-17,"CALCIUM",2
"AK_R_1010504_005",2019-09-17,"CHROMIUM",2
"AK_R_1010504_005",2019-09-17,"COBALT",2
"AK_R_1010504_005",2019-09-17,"COLORED DISSOLVED ORGANIC MATTER (CDOM)",9
"AK_R_1010504_005",2019-09-17,"COPPER",2
"AK_R_1010504_005",2019-09-17,"DISSOLVED OXYGEN (DO)",5
"AK_R_1010504_005",2019-09-17,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-09-17,"INORGANIC CARBON",2
"AK_R_1010504_005",2019-09-17,"IRON",2
"AK_R_1010504_005",2019-09-17,"LEAD",2
"AK_R_1010504_005",2019-09-17,"LITHIUM",2
"AK_R_1010504_005",2019-09-17,"MAGNESIUM",2
"AK_R_1010504_005",2019-09-17,"MANGANESE",2
"AK_R_1010504_005",2019-09-17,"MERCURY",2
"AK_R_1010504_005",2019-09-17,"MOLYBDENUM",2
"AK_R_1010504_005",2019-09-17,"NICKEL",2
"AK_R_1010504_005",2019-09-17,"NITRATE",2
"AK_R_1010504_005",2019-09-17,"NITRITE",2
"AK_R_1010504_005",2019-09-17,"ORGANIC CARBON",2
"AK_R_1010504_005",2019-09-17,"ORGANIC NITROGEN",2
"AK_R_1010504_005",2019-09-17,"ORTHOPHOSPHATE",2
"AK_R_1010504_005",2019-09-17,"PH",6
"AK_R_1010504_005",2019-09-17,"POTASSIUM",2
"AK_R_1010504_005",2019-09-17,"SEDIMENT",3
"AK_R_1010504_005",2019-09-17,"SELENIUM",2
"AK_R_1010504_005",2019-09-17,"SILVER",2
"AK_R_1010504_005",2019-09-17,"SODIUM",2
"AK_R_1010504_005",2019-09-17,"SPECIFIC CONDUCTANCE",6
"AK_R_1010504_005",2019-09-17,"STREAM FLOW, INSTANTANEOUS",2
"AK_R_1010504_005",2019-09-17,"STRONTIUM",2
"AK_R_1010504_005",2019-09-17,"TEMPERATURE, WATER",5
"AK_R_1010504_005",2019-09-17,"THALLIUM",2
"AK_R_1010504_005",2019-09-17,"TOTAL DISSOLVED SOLIDS",4
"AK_R_1010504_005",2019-09-17,"TOTAL NITROGEN, MIXED FORMS",5
"AK_R_1010504_005",2019-09-17,"TOTAL PHOSPHORUS, MIXED FORMS",2
"AK_R_1010504_005",2019-09-17,"TURBIDITY",6
"AK_R_1010504_005",2019-09-17,"ZINC",2
"AK_R_1010504_005",2019-11-27,"ACIDITY, (H+)",5
"AK_R_1010504_005",2019-11-27,"ALUMINUM",2
"AK_R_1010504_005",2019-11-27,"AMMONIA AND AMMONIUM",2
"AK_R_1010504_005",2019-11-27,"ARSENIC",2
"AK_R_1010504_005",2019-11-27,"BARIUM",2
"AK_R_1010504_005",2019-11-27,"BERYLLIUM",2
"AK_R_1010504_005",2019-11-27,"CADMIUM",2
"AK_R_1010504_005",2019-11-27,"CALCIUM",2
"AK_R_1010504_005",2019-11-27,"CHROMIUM",2
"AK_R_1010504_005",2019-11-27,"COBALT",2
"AK_R_1010504_005",2019-11-27,"COLORED DISSOLVED ORGANIC MATTER (CDOM)",9
"AK_R_1010504_005",2019-11-27,"COPPER",2
"AK_R_1010504_005",2019-11-27,"DISSOLVED OXYGEN (DO)",5
"AK_R_1010504_005",2019-11-27,"HEIGHT, GAGE",2
"AK_R_1010504_005",2019-11-27,"INORGANIC CARBON",2
"AK_R_1010504_005",2019-11-27,"IRON",2
