AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Constituent Group,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_M_2020111_011,Port Valdez Small Boat Harbor,OCEAN,Marine,COPPER,UG/L,TOTAL,16,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_011,Port Valdez Small Boat Harbor,OCEAN,Marine,NICKEL,UG/L,TOTAL,16,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020111_011,Port Valdez Small Boat Harbor,OCEAN,Marine,ZINC,UG/L,TOTAL,16,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_000,Blackstone Bay-Frontal Port Wells,OCEAN,Marine,COPPER,UG/L,TOTAL,5,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_000,Blackstone Bay-Frontal Port Wells,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_000,Blackstone Bay-Frontal Port Wells,OCEAN,Marine,ZINC,UG/L,TOTAL,5,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Passage Canal (Whittier Harbor),OCEAN,Marine,COPPER,UG/L,TOTAL,16,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Passage Canal (Whittier Harbor),OCEAN,Marine,NICKEL,UG/L,TOTAL,17,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020120_011,Passage Canal (Whittier Harbor),OCEAN,Marine,ZINC,UG/L,TOTAL,16,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_003,Upper Resurrection Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,12,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_003,Upper Resurrection Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,12,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_003,Upper Resurrection Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,12,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_004,Seward Harbor,OCEAN,Marine,COPPER,UG/L,TOTAL,22,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_004,Seward Harbor,OCEAN,Marine,NICKEL,UG/L,TOTAL,22,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020205_004,Seward Harbor,OCEAN,Marine,ZINC,UG/L,TOTAL,22,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020206_000,Resurrection Bay-Frontal Gulf of Alaska,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020206_000,Resurrection Bay-Frontal Gulf of Alaska,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020206_000,Resurrection Bay-Frontal Gulf of Alaska,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020306_000,Prince William Sound,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020306_000,Prince William Sound,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2020306_000,Prince William Sound,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_000,Stariski Creek-Frontal Cook Inlet,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_000,Stariski Creek-Frontal Cook Inlet,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_000,Stariski Creek-Frontal Cook Inlet,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Homer Nearshore Area,OCEAN,Marine,COPPER,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Homer Nearshore Area,OCEAN,Marine,NICKEL,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2030108_006,Homer Nearshore Area,OCEAN,Marine,ZINC,UG/L,TOTAL,13,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_003,Knik Arm,OCEAN,Marine,COPPER,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_003,Knik Arm,OCEAN,Marine,NICKEL,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_003,Knik Arm,OCEAN,Marine,ZINC,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_007,Anchorage Coast Area North,OCEAN,Marine,COPPER,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_007,Anchorage Coast Area North,OCEAN,Marine,NICKEL,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2040108_007,Anchorage Coast Area North,OCEAN,Marine,ZINC,UG/L,TOTAL,9,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_000,Afognak River-Frontal Marmot Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_000,Afognak River-Frontal Marmot Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070114_000,Afognak River-Frontal Marmot Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_000,Buskin River-Chiniak Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_000,Buskin River-Chiniak Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_000,Buskin River-Chiniak Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Kodiak Harbors,OCEAN,Marine,COPPER,UG/L,TOTAL,12,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Kodiak Harbors,OCEAN,Marine,NICKEL,UG/L,TOTAL,12,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_2070115_007,Kodiak Harbors,OCEAN,Marine,ZINC,UG/L,TOTAL,12,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Dutch Harbor (facilities),OCEAN,Marine,COPPER,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Dutch Harbor (facilities),OCEAN,Marine,NICKEL,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_005,Dutch Harbor (facilities),OCEAN,Marine,ZINC,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Iliuliuk Bay,OCEAN,Marine,COPPER,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Iliuliuk Bay,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_008,Iliuliuk Bay,OCEAN,Marine,ZINC,UG/L,TOTAL,4,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_023,Dutch Harbor (entire harbor),OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_023,Dutch Harbor (entire harbor),OCEAN,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_023,Dutch Harbor (entire harbor),OCEAN,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_024,Iliuliuk Harbor (main),OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_024,Iliuliuk Harbor (main),OCEAN,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_3010208_024,Iliuliuk Harbor (main),OCEAN,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_000,Safety Sound-Frontal Norton Sound,OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_000,Safety Sound-Frontal Norton Sound,OCEAN,Marine,NICKEL,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_000,Safety Sound-Frontal Norton Sound,OCEAN,Marine,ZINC,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_003,Nome Harbor,OCEAN,Marine,COPPER,UG/L,TOTAL,8,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_003,Nome Harbor,OCEAN,Marine,NICKEL,UG/L,TOTAL,8,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_5010420_003,Nome Harbor,OCEAN,Marine,ZINC,UG/L,TOTAL,8,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020202_001,Utqiagvik Coastal Area,OCEAN,Marine,COPPER,UG/L,TOTAL,4,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020202_001,Utqiagvik Coastal Area,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_6020202_001,Utqiagvik Coastal Area,OCEAN,Marine,ZINC,UG/L,TOTAL,4,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_001,Carlanna Creek,RIVER/STREAM,River,ALKALINITY,UG/L,,8,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_001,Carlanna Creek,RIVER/STREAM,River,AMMONIA,MG/L,,9,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_001,Carlanna Creek,RIVER/STREAM,River,CHROMIUM,UG/L,DISSOLVED,17,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_001,Carlanna Creek,RIVER/STREAM,River,HARDNESS,MG/L,,16,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_002,Hoadley Creek,RIVER/STREAM,River,ALKALINITY,UG/L,,6,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_002,Hoadley Creek,RIVER/STREAM,River,AMMONIA,MG/L,,6,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_002,Hoadley Creek,RIVER/STREAM,River,CHROMIUM,UG/L,DISSOLVED,14,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_002,Hoadley Creek,RIVER/STREAM,River,HARDNESS,MG/L,,14,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_003,Ketchikan Creek,RIVER/STREAM,River,ALKALINITY,UG/L,,9,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_003,Ketchikan Creek,RIVER/STREAM,River,AMMONIA,MG/L,,9,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_003,Ketchikan Creek,RIVER/STREAM,River,CHROMIUM,UG/L,DISSOLVED,21,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010204_003,Ketchikan Creek,RIVER/STREAM,River,HARDNESS,MG/L,,21,7,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010301_002,Hatchery Creek,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010301_002,Hatchery Creek,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010310_006,Shaheen Creek,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010310_006,Shaheen Creek,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010402_004,North Fork Bradfield River,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010402_004,North Fork Bradfield River,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010403_003,Harding River,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010403_003,Harding River,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,BARIUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,COBALT,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,COPPER,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,IRON,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,LITHIUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,MANGANESE,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,MOLYBDENUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,NICKEL,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010503_001,Blue River,STREAM,River,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,RIVER/STREAM,River,AMMONIA,MG/L,,6,4,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,6,4,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,ALKALINITY,UG/L,DISSOLVED,66,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,ALUMINUM,UG/L,DISSOLVED,50,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,ANTIMONY,UG/L,DISSOLVED,49,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,BARIUM,UG/L,DISSOLVED,50,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,BARIUM,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,BERYLLIUM,UG/L,TOTAL RECOVERABLE,26,23,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,CHROMIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,COBALT,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,COPPER,UG/L,TOTAL RECOVERABLE,49,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,HARDNESS,MG/L,,50,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,IRON,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,LEAD,UG/L,TOTAL RECOVERABLE,48,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,LITHIUM,UG/L,TOTAL RECOVERABLE,48,42,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,MANGANESE,UG/L,DISSOLVED,50,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,MANGANESE,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,MERCURY,UG/L,DISSOLVED,4,4,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,MERCURY,UG/L,TOTAL RECOVERABLE,18,16,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,MOLYBDENUM,UG/L,TOTAL RECOVERABLE,51,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,NICKEL,UG/L,TOTAL RECOVERABLE,50,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,SILVER,UG/L,TOTAL RECOVERABLE,13,13,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,THALLIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,URANIUM,UG/L,DISSOLVED,50,43,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010504_005,Unuk River,STREAM,River,ZINC,UG/L,TOTAL RECOVERABLE,50,44,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010510_005,Wilson River,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010510_005,Wilson River,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010513_005,Keta River,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010513_005,Keta River,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,ALKALINITY,UG/L,DISSOLVED,27,23,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,ALUMINUM,UG/L,DISSOLVED,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,ANTIMONY,UG/L,DISSOLVED,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,BARIUM,UG/L,DISSOLVED,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,BARIUM,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,BERYLLIUM,UG/L,TOTAL RECOVERABLE,21,19,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,COBALT,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,COPPER,UG/L,TOTAL RECOVERABLE,30,27,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,HARDNESS,MG/L,,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,IRON,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,LEAD,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,LITHIUM,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,MANGANESE,UG/L,DISSOLVED,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,MANGANESE,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,MERCURY,UG/L,TOTAL RECOVERABLE,8,6,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,MOLYBDENUM,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,NICKEL,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,SILVER,UG/L,TOTAL RECOVERABLE,18,16,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,URANIUM,UG/L,DISSOLVED,34,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_009,Salmon River,STREAM,River,ZINC,UG/L,TOTAL RECOVERABLE,35,31,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,BARIUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,BERYLLIUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,COBALT,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,COPPER,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,IRON,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,LEAD,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,LITHIUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,MANGANESE,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,MOLYBDENUM,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,NICKEL,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,SILVER,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1010601_012,Texas Creek,STREAM,River,ZINC,UG/L,TOTAL RECOVERABLE,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1020709_009,Shakes Slough,RIVER/STREAM,River,AMMONIA,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_R_1020709_009,Shakes Slough,RIVER/STREAM,River,CHLORIDE,MG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
