AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,n_Samples,n_Years,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Minimum number of data points,Min_Num_Pts,Min_Data_Pass,Data_Sufficient
AK_M_1010207_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,2,2,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Aquatic Life,,2 water years,20,20,No,No
AK_M_1010207_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Water Supply,,2 water years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Secondary Contact Recreation,,2 water years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1010207_008,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1010207_008,Ocean,Marine,PH,,8,2,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,PH,,8,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,PH,,8,2,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,PH,,8,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,"TEMPERATURE, WATER",DEG C,8,2,Marine,,Water Supply,,,,,,No
AK_M_1010207_008,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1010207_008,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1010207_008,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1010210_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1010210_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1010210_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,3,3,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,FECAL COLIFORM,MPN/100ML,3,3,Marine,,Aquatic Life,,2 water years,20,20,No,No
AK_M_1010210_003,Ocean,Marine,FECAL COLIFORM,MPN/100ML,3,3,Marine,,Water Supply,,2 water years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,FECAL COLIFORM,MPN/100ML,3,3,Marine,,Secondary Contact Recreation,,2 water years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,FECAL COLIFORM,MPN/100ML,3,3,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,FECAL COLIFORM,MPN/100ML,3,3,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1010210_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1010210_003,Ocean,Marine,PH,,12,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,PH,,12,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,PH,,12,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,PH,,12,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1010210_003,Ocean,Marine,"TEMPERATURE, WATER",DEG C,12,3,Marine,,Water Supply,,,,,,No
AK_M_1010210_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1010210_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1010210_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020401_005,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1020401_005,Ocean,Marine,COPPER,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020401_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,8,2,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Aquatic Life,,2 water years,20,20,No,No
AK_M_1020401_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Water Supply,,2 water years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Secondary Contact Recreation,,2 water years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,FECAL COLIFORM,MPN/100ML,2,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1020401_005,Ocean,Marine,NICKEL,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020401_005,Ocean,Marine,PH,,8,2,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,PH,,8,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,PH,,8,2,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,PH,,8,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,"TEMPERATURE, WATER",DEG C,8,2,Marine,,Water Supply,,,,,,No
AK_M_1020401_005,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020401_005,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1020401_005,Ocean,Marine,ZINC,UG/L,4,2,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020612_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020612_003,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020612_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020612_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020612_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020612_003,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1020612_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020612_003,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020612_003,Ocean,Marine,PH,,8,2,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,PH,,8,2,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,PH,,8,2,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,PH,,8,2,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,"TEMPERATURE, WATER",DEG C,12,3,Marine,,Water Supply,,,,,,No
AK_M_1020612_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1020612_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020612_003,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020903_010,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020903_010,Ocean,Marine,COPPER,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020903_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,24,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,1,1,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1020903_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,1,1,Marine,,Aquatic Life,,2 water years,20,20,No,No
AK_M_1020903_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,1,1,Marine,,Water Supply,,2 water years,10,10,No,No
AK_M_1020903_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,1,1,Marine,,Secondary Contact Recreation,,2 water years,10,10,No,No
AK_M_1020903_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,1,1,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1020903_010,Ocean,Marine,FECAL COLIFORM,MPN/100ML,1,1,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1020903_010,Ocean,Marine,NICKEL,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,NICKEL,UG/L,12,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020903_010,Ocean,Marine,NICKEL,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020903_010,Ocean,Marine,PH,,24,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,PH,,24,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,PH,,24,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,PH,,24,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,"TEMPERATURE, WATER",DEG C,24,3,Marine,,Water Supply,,,,,,No
AK_M_1020903_010,Ocean,Marine,ZINC,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020903_010,Ocean,Marine,ZINC,UG/L,12,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020903_010,Ocean,Marine,ZINC,UG/L,12,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1020904_004,Ocean,Marine,COPPER,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,COPPER,UG/L,30,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020904_004,Ocean,Marine,COPPER,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1020904_004,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,60,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,60,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,60,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,60,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,15,1,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,No
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,64,3,Marine,,Aquatic Life,,2 water years,20,20,Yes,Yes
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,64,3,Marine,,Water Supply,,2 water years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,64,3,Marine,,Secondary Contact Recreation,,2 water years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,64,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,64,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,30,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1020904_004,Ocean,Marine,PH,,60,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,PH,,60,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,PH,,60,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,PH,,60,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,"TEMPERATURE, WATER",DEG C,60,3,Marine,,Water Supply,,,,,,No
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,30,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,30,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1021008_007,Ocean,Marine,COPPER,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,COPPER,UG/L,2,1,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1021008_007,Ocean,Marine,COPPER,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021008_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,4,1,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,4,1,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,4,1,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,4,1,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,NICKEL,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,NICKEL,UG/L,2,1,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1021008_007,Ocean,Marine,NICKEL,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021008_007,Ocean,Marine,PH,,4,1,Marine,,Primary Contact Recreation,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,PH,,4,1,Marine,,Water Supply,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,PH,,4,1,Marine,,Aquatic Life,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,PH,,4,1,Marine,,Secondary Contact Recreation,,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,"TEMPERATURE, WATER",DEG C,4,1,Marine,,Water Supply,,,,,,No
AK_M_1021008_007,Ocean,Marine,ZINC,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021008_007,Ocean,Marine,ZINC,UG/L,2,1,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,No,No
AK_M_1021008_007,Ocean,Marine,ZINC,UG/L,2,1,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021010_006,Ocean,Marine,COPPER,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,64,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ENTEROCOCCUS,MPN/100ML,18,1,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,No
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Aquatic Life,,2 water years,20,20,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Water Supply,,2 water years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Secondary Contact Recreation,,2 water years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,FECAL COLIFORM,MPN/100ML,80,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021010_006,Ocean,Marine,NICKEL,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,PH,,64,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,"TEMPERATURE, WATER",DEG C,64,3,Marine,,Water Supply,,,,,,No
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021010_006,Ocean,Marine,ZINC,UG/L,32,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,Yes,Yes
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021012_001,Ocean,Marine,COPPER,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,12,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021012_001,Ocean,Marine,NICKEL,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,PH,,12,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021012_001,Ocean,Marine,"TEMPERATURE, WATER",DEG C,12,3,Marine,,Water Supply,,,,,,No
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,No,No
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021012_001,Ocean,Marine,ZINC,UG/L,6,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,10,10,Yes,Yes
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Acute,2 years,5,5,Yes,Yes
AK_M_1021109_002,Ocean,Marine,COPPER,UG/L,16,3,Marine,Dissolved,Aquatic Life,Chronic,2 years,18,18,No,No
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Water Supply,,2 years,10,10,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Primary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Secondary Contact Recreation,,2 years,10,10,Yes,Yes
AK_M_1021109_002,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,35,3,Marine,,Aquatic Life,,2 years,10,10,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Aquatic Life,,2 water years,20,20,Yes,Yes
AK_M_1021109_002,Ocean,Marine,FECAL COLIFORM,MPN/100ML,39,3,Marine,,Water Supply,,2 water years,10,10,Yes,Yes
