AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,assessmentUnitName,locationDescription,waterSize,waterSizeUnits
AK_M_1050009_001,Marine,Primary Contact Recreation,3,Not Assessed,Clarence Strait,"HUC10 1901050009 monitoring location at 56.1348N, -132.7785W",199,Miles
AK_M_1050009_001,Marine,Secondary Contact Recreation,3,Not Assessed,Clarence Strait,"HUC10 1901050009 monitoring location at 56.1348N, -132.7785W",199,Miles
AK_M_1050009_001,Marine,Water Supply,3,Not Assessed,Clarence Strait,"HUC10 1901050009 monitoring location at 56.1348N, -132.7785W",199,Miles
AK_M_2020111_005,Marine,Aquatic Life,3,Not Assessed,Port Valdez,Trends E-W from 3 mi. NE of Valdez Arm to its head at Valdez.,0.0421,Square Miles
AK_M_2020111_005,Marine,Primary Contact Recreation,3,Not Assessed,Port Valdez,Trends E-W from 3 mi. NE of Valdez Arm to its head at Valdez.,0.0421,Square Miles
AK_M_2020111_005,Marine,Secondary Contact Recreation,3,Not Assessed,Port Valdez,Trends E-W from 3 mi. NE of Valdez Arm to its head at Valdez.,0.0421,Square Miles
AK_M_2020111_005,Marine,Water Supply,3,Not Assessed,Port Valdez,Trends E-W from 3 mi. NE of Valdez Arm to its head at Valdez.,0.0421,Square Miles
AK_M_2020111_011,Marine,Aquatic Life,3,Not Assessed,Port Valdez Small Boat Harbor,north corner of Port Valdez,0.0063,Square Miles
AK_M_2020111_011,Marine,Primary Contact Recreation,3,Not Assessed,Port Valdez Small Boat Harbor,north corner of Port Valdez,0.0063,Square Miles
AK_M_2020111_011,Marine,Secondary Contact Recreation,3,Not Assessed,Port Valdez Small Boat Harbor,north corner of Port Valdez,0.0063,Square Miles
AK_M_2020111_011,Marine,Water Supply,3,Not Assessed,Port Valdez Small Boat Harbor,north corner of Port Valdez,0.0063,Square Miles
AK_M_2020120_011,Marine,Aquatic Life,3,Not Assessed,Passage Canal (Whittier Harbor),Whittier,1,Square Miles
AK_M_2020120_011,Marine,Primary Contact Recreation,2,Fully Supporting,Passage Canal (Whittier Harbor),Whittier,1,Square Miles
AK_M_2020120_011,Marine,Secondary Contact Recreation,2,Fully Supporting,Passage Canal (Whittier Harbor),Whittier,1,Square Miles
AK_M_2020120_011,Marine,Water Supply,2,Fully Supporting,Passage Canal (Whittier Harbor),Whittier,1,Square Miles
AK_M_2030108_006,Marine,Aquatic Life,3,Not Assessed,Homer Harbor,HUC: 19020301,0.0016,Square Miles
AK_M_2030108_006,Marine,Primary Contact Recreation,5,Not Supporting,Homer Harbor,HUC: 19020301,0.0016,Square Miles
AK_M_2030108_006,Marine,Secondary Contact Recreation,2,Fully Supporting,Homer Harbor,HUC: 19020301,0.0016,Square Miles
AK_M_2030108_006,Marine,Water Supply,5,Not Supporting,Homer Harbor,HUC: 19020301,0.0016,Square Miles
AK_M_2040108_006,Marine,Aquatic Life,3,Not Assessed,Anchorage Harbor,"HUC10 1902040108, monitoring location at 61.2285N, -149.903W",1.18,Square Miles
AK_M_2040108_006,Marine,Primary Contact Recreation,2,Fully Supporting,Anchorage Harbor,"HUC10 1902040108, monitoring location at 61.2285N, -149.903W",1.18,Square Miles
AK_M_2040108_006,Marine,Secondary Contact Recreation,2,Fully Supporting,Anchorage Harbor,"HUC10 1902040108, monitoring location at 61.2285N, -149.903W",1.18,Square Miles
AK_M_2040108_006,Marine,Water Supply,2,Fully Supporting,Anchorage Harbor,"HUC10 1902040108, monitoring location at 61.2285N, -149.903W",1.18,Square Miles
AK_M_2070114_018,Marine,Aquatic Life,3,Not Assessed,Mill Bay,"HUC10 1902070114 monitoring location at 57.8308N, -152.3357W",1.78,Square Miles
AK_M_2070114_018,Marine,Primary Contact Recreation,3,Not Assessed,Mill Bay,"HUC10 1902070114 monitoring location at 57.8308N, -152.3357W",1.78,Square Miles
AK_M_2070114_018,Marine,Secondary Contact Recreation,3,Not Assessed,Mill Bay,"HUC10 1902070114 monitoring location at 57.8308N, -152.3357W",1.78,Square Miles
AK_M_2070114_018,Marine,Water Supply,3,Not Assessed,Mill Bay,"HUC10 1902070114 monitoring location at 57.8308N, -152.3357W",1.78,Square Miles
AK_M_2070115_007,Marine,Aquatic Life,3,Not Assessed,Kodiak Harbor,"HUC10 1902070115 monitoring location at 57.7897N, -152.3915W",0.62,Square Miles
AK_M_2070115_007,Marine,Primary Contact Recreation,2,Fully Supporting,Kodiak Harbor,"HUC10 1902070115 monitoring location at 57.7897N, -152.3915W",0.62,Square Miles
AK_M_2070115_007,Marine,Secondary Contact Recreation,2,Fully Supporting,Kodiak Harbor,"HUC10 1902070115 monitoring location at 57.7897N, -152.3915W",0.62,Square Miles
AK_M_2070115_007,Marine,Water Supply,5,Not Supporting,Kodiak Harbor,"HUC10 1902070115 monitoring location at 57.7897N, -152.3915W",0.62,Square Miles
AK_M_3010208_005,Marine,Aquatic Life,3,Not Assessed,Dutch Harbor,"Unalaska, Unalaska Island, Aleutians; HUC: 19030401",0.12,Square Miles
AK_M_3010208_005,Marine,Primary Contact Recreation,2,Fully Supporting,Dutch Harbor,"Unalaska, Unalaska Island, Aleutians; HUC: 19030401",0.12,Square Miles
AK_M_3010208_005,Marine,Secondary Contact Recreation,2,Fully Supporting,Dutch Harbor,"Unalaska, Unalaska Island, Aleutians; HUC: 19030401",0.12,Square Miles
AK_M_3010208_005,Marine,Water Supply,5,Not Supporting,Dutch Harbor,"Unalaska, Unalaska Island, Aleutians; HUC: 19030401",0.12,Square Miles
AK_M_3010208_008,Marine,Aquatic Life,3,Not Assessed,Iliuliuk Bay,"Iliuliuk Bay, Unalaska Island, Aluetian Islands",5.625,Square Miles
AK_M_3010208_008,Marine,Primary Contact Recreation,2,Fully Supporting,Iliuliuk Bay,"Iliuliuk Bay, Unalaska Island, Aluetian Islands",5.625,Square Miles
AK_M_3010208_008,Marine,Secondary Contact Recreation,2,Fully Supporting,Iliuliuk Bay,"Iliuliuk Bay, Unalaska Island, Aluetian Islands",5.625,Square Miles
AK_M_3010208_008,Marine,Water Supply,2,Fully Supporting,Iliuliuk Bay,"Iliuliuk Bay, Unalaska Island, Aluetian Islands",5.625,Square Miles
AK_M_3010208_009,Marine,Aquatic Life,3,Not Assessed,Iliuliuk Harbor,"Dutch Harbor area, Unalaska Island, Aluetians Islands; HUC: 19030102",0.07,Square Miles
AK_M_3010208_009,Marine,Primary Contact Recreation,5,Not Supporting,Iliuliuk Harbor,"Dutch Harbor area, Unalaska Island, Aluetians Islands; HUC: 19030102",0.07,Square Miles
AK_M_3010208_009,Marine,Secondary Contact Recreation,2,Fully Supporting,Iliuliuk Harbor,"Dutch Harbor area, Unalaska Island, Aluetians Islands; HUC: 19030102",0.07,Square Miles
AK_M_3010208_009,Marine,Water Supply,2,Fully Supporting,Iliuliuk Harbor,"Dutch Harbor area, Unalaska Island, Aluetians Islands; HUC: 19030102",0.07,Square Miles
AK_R_1010504_005,Freshwater,Aquatic Life,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010504_005,Freshwater,Human Health,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010504_005,Freshwater,Primary Contact Recreation,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010504_005,Freshwater,Secondary Contact Recreation,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010504_005,Freshwater,Water Supply,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010504_005,Freshwater streams and rivers,Water Supply,5,Not Supporting,Unuk River,Unuk River from AK/CN border to mouth in Burroughs Bay,26.4,Miles
AK_R_1010601_009,Freshwater,Aquatic Life,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1010601_009,Freshwater,Human Health,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1010601_009,Freshwater,Primary Contact Recreation,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1010601_009,Freshwater,Secondary Contact Recreation,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1010601_009,Freshwater,Water Supply,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1010601_009,Freshwater streams and rivers,Water Supply,5,Not Supporting,Salmon River (Hyder),"heads at Salmon Glacier in British Columbia, CA, flows S across border 14 mi. to Portland Canal",14,Miles
AK_R_1020709_011,Freshwater,Aquatic Life,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1020709_011,Freshwater,Human Health,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1020709_011,Freshwater,Primary Contact Recreation,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1020709_011,Freshwater,Secondary Contact Recreation,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1020709_011,Freshwater,Water Supply,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1020709_011,Freshwater streams and rivers,Water Supply,5,Not Supporting,Stikine River,"River from AK/CN border to mouth, discharges to Eastern Passage, 2 mi. N of Wrangell, in Southeast Alaska",15.7,Miles
AK_R_1030106_014,Freshwater,Aquatic Life,5,Not Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030106_014,Freshwater,Human Health,5,Not Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030106_014,Freshwater,Primary Contact Recreation,5,Not Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030106_014,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030106_014,Freshwater,Water Supply,5,Not Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030106_014,Freshwater streams and rivers,Water Supply,5,Not Supporting,Jordan Creek,7 mi. NW of Juneau. Flows S 3 mi. to Juneau Airport area on Gastineau Channel.,3,Miles
AK_R_1030407_006,Freshwater,Aquatic Life,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1030407_006,Freshwater,Human Health,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1030407_006,Freshwater,Primary Contact Recreation,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1030407_006,Freshwater,Secondary Contact Recreation,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1030407_006,Freshwater,Water Supply,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1030407_006,Freshwater streams and rivers,Water Supply,5,Not Supporting,Taku River,"transboundary river, heads in British Columbia, flows SW 54 mi. to Taku Inlet, 18 mi. NE of Juneau",54,Miles
AK_R_1040422_001,Freshwater,Aquatic Life,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_1040422_001,Freshwater,Human Health,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_1040422_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_1040422_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_1040422_001,Freshwater,Water Supply,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_1040422_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Alsek River,"HUC10 1901040422 monitoring location at 59.192805N, -138.333917W",6.57,Miles
AK_R_2030207_012,Freshwater,Primary Contact Recreation,2,Fully Supporting,McHugh Creek,"HUC10 1902030207, monitoring location at 61.017844N, -149.731088W",5.33,Miles
AK_R_2030207_012,Freshwater,Secondary Contact Recreation,2,Fully Supporting,McHugh Creek,"HUC10 1902030207, monitoring location at 61.017844N, -149.731088W",5.33,Miles
AK_R_2030207_012,Freshwater,Water Supply,2,Fully Supporting,McHugh Creek,"HUC10 1902030207, monitoring location at 61.017844N, -149.731088W",5.33,Miles
AK_R_2030207_018,Freshwater,Primary Contact Recreation,2,Fully Supporting,Rainbow Creek,"HUC10 1902030207, monitoring location at 61.000648N, -149.642506W",2.95,Miles
AK_R_2030207_018,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Rainbow Creek,"HUC10 1902030207, monitoring location at 61.000648N, -149.642506W",2.95,Miles
AK_R_2030207_018,Freshwater,Water Supply,5,Not Supporting,Rainbow Creek,"HUC10 1902030207, monitoring location at 61.000648N, -149.642506W",2.95,Miles
AK_R_2030214_007,Freshwater,Aquatic Life,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030214_007,Freshwater,Human Health,2,Fully Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030214_007,Freshwater,Primary Contact Recreation,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030214_007,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030214_007,Freshwater,Water Supply,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030214_007,Freshwater streams and rivers,Water Supply,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Kenai Lake downstream 15.5 miles to Skilak Lake.",15.5,Miles
AK_R_2030218_002_001,Freshwater,Aquatic Life,5,Not Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_001,Freshwater,Human Health,2,Fully Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_001,Freshwater,Water Supply,5,Not Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Kenai River,"Lower Kenai River from approximately river mile 19 downstream to the mouth. River mile 19 is downstream of the Sterling Highway Bridge approximately 1.5 miles, at the mouth of Slikok Creek. 
Kenai Peninsula; HUC: 19020302",19.3,Miles
AK_R_2030218_002_002,Freshwater,Aquatic Life,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_002_002,Freshwater,Human Health,2,Fully Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_002_002,Freshwater,Primary Contact Recreation,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_002_002,Freshwater,Secondary Contact Recreation,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_002_002,Freshwater,Water Supply,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_002_002,Freshwater streams and rivers,Water Supply,5,Not Supporting,Kenai River,"Kenai Peninsula, Kenai River from the outlet of Skilak Lake downstream 31.3 miles to Slikok Creek.",31.3,Miles
AK_R_2030218_006,Freshwater,Aquatic Life,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_006,Freshwater,Human Health,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_006,Freshwater,Primary Contact Recreation,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_006,Freshwater,Secondary Contact Recreation,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_006,Freshwater,Water Supply,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_006,Freshwater streams and rivers,Water Supply,3,Not Assessed,Slikok Creek,"Kenai Peninsula, SW of Soldotna",1,Miles
AK_R_2030218_007,Freshwater,Aquatic Life,5,Not Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2030218_007,Freshwater,Human Health,5,Not Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2030218_007,Freshwater,Primary Contact Recreation,5,Not Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2030218_007,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2030218_007,Freshwater,Water Supply,5,Not Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2030218_007,Freshwater streams and rivers,Water Supply,5,Not Supporting,Soldotna Creek,city of Soldotna,1,Miles
AK_R_2040102_002,Freshwater,Primary Contact Recreation,2,Fully Supporting,Peters Creek,"Flows NW to Knik Arm, N of Birchwood, 20 mi. NE of Anchorage, AK.",20,Miles
AK_R_2040102_002,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Peters Creek,"Flows NW to Knik Arm, N of Birchwood, 20 mi. NE of Anchorage, AK.",20,Miles
AK_R_2040102_002,Freshwater,Water Supply,2,Fully Supporting,Peters Creek,"Flows NW to Knik Arm, N of Birchwood, 20 mi. NE of Anchorage, AK.",20,Miles
AK_R_2040103_003_004,Freshwater,Primary Contact Recreation,2,Fully Supporting,Eagle River,"HUC10 1902040103, monitoring location at 61.310353N, -149.576255W",0.83,Miles
AK_R_2040103_003_004,Freshwater,Secondary Contact Recreation,5,Not Supporting,Eagle River,"HUC10 1902040103, monitoring location at 61.310353N, -149.576255W",0.83,Miles
AK_R_2040103_003_004,Freshwater,Water Supply,5,Not Supporting,Eagle River,"HUC10 1902040103, monitoring location at 61.310353N, -149.576255W",0.83,Miles
AK_R_2040104_002_001,Freshwater,Aquatic Life,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_001,Freshwater,Human Health,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_001,Freshwater,Water Supply,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Ship Creek-Glenn Hy. Bridge Down to Mouth,Anchorage; HUC: 19020401,9,Miles
AK_R_2040104_002_002,Freshwater,Aquatic Life,5,Not Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040104_002_002,Freshwater,Human Health,5,Not Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040104_002_002,Freshwater,Primary Contact Recreation,2,Fully Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040104_002_002,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040104_002_002,Freshwater,Water Supply,2,Fully Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040104_002_002,Freshwater streams and rivers,Water Supply,2,Fully Supporting,Ship Creek,"HUC10 1902040104, monitoring location at 61.224464N, -149.630439W",20.45,Miles
AK_R_2040106_001,Freshwater,Aquatic Life,5,Not Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_001,Freshwater,Human Health,5,Not Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_001,Freshwater,Primary Contact Recreation,5,Not Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_001,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_001,Freshwater,Water Supply,5,Not Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_001,Freshwater streams and rivers,Water Supply,5,Not Supporting,Campbell Creek,Anchorage; HUC: 19020401,9,Miles
AK_R_2040106_004,Freshwater,Aquatic Life,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_004,Freshwater,Human Health,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_004,Freshwater,Primary Contact Recreation,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_004,Freshwater,Secondary Contact Recreation,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_004,Freshwater,Water Supply,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_004,Freshwater streams and rivers,Water Supply,5,Not Supporting,Little Campbell Creek,Anchorage; HUC: 19020401,8.3,Miles
AK_R_2040106_005,Freshwater,Primary Contact Recreation,2,Fully Supporting,Craig Creek,"HUC10 1902040106, monitoring location at 61.133343N, -149.784853W",3.3,Miles
AK_R_2040106_005,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Craig Creek,"HUC10 1902040106, monitoring location at 61.133343N, -149.784853W",3.3,Miles
AK_R_2040106_005,Freshwater,Water Supply,5,Not Supporting,Craig Creek,"HUC10 1902040106, monitoring location at 61.133343N, -149.784853W",3.3,Miles
AK_R_2040107_002,Freshwater,Secondary Contact Recreation,5,Not Supporting,Furrow Creek,Anchorage; HUC: 19020401,5.3,Miles
AK_R_2040107_002,Freshwater,Water Supply,5,Not Supporting,Furrow Creek,Anchorage; HUC: 19020401,5.3,Miles
AK_R_2040107_003_001,Freshwater,Secondary Contact Recreation,5,Not Supporting,Little Rabbit Creek,Anchorage; HUC: 19020401,5.2,Miles
AK_R_2040107_003_001,Freshwater,Water Supply,5,Not Supporting,Little Rabbit Creek,Anchorage; HUC: 19020401,5.2,Miles
AK_R_2040107_004,Freshwater,Primary Contact Recreation,2,Fully Supporting,Potter Creek,"in Anchorage, S of Anchorage",3.5,Miles
AK_R_2040107_004,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Potter Creek,"in Anchorage, S of Anchorage",3.5,Miles
AK_R_2040107_004,Freshwater,Water Supply,2,Fully Supporting,Potter Creek,"in Anchorage, S of Anchorage",3.5,Miles
AK_R_2040107_005,Freshwater,Primary Contact Recreation,2,Fully Supporting,Rabbit Creek,"Anchorage, AK",12,Miles
AK_R_2040107_005,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Rabbit Creek,"Anchorage, AK",12,Miles
AK_R_2040107_005,Freshwater,Water Supply,5,Not Supporting,Rabbit Creek,"Anchorage, AK",12,Miles
AK_R_2040107_007,Freshwater,Secondary Contact Recreation,2,Fully Supporting,Little Survival Creek,Anchorage; HUC: 19020401,3,Miles
AK_R_2040107_007,Freshwater,Water Supply,5,Not Supporting,Little Survival Creek,Anchorage; HUC: 19020401,3,Miles
AK_R_2040108_003,Freshwater,Aquatic Life,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_003,Freshwater,Human Health,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_003,Freshwater,Primary Contact Recreation,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_003,Freshwater,Secondary Contact Recreation,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_003,Freshwater,Water Supply,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_003,Freshwater streams and rivers,Water Supply,5,Not Supporting,Chester Creek,Anchorage; HUC: 19020401,10.31,Miles
AK_R_2040108_009,Freshwater,Secondary Contact Recreation,5,Not Supporting,Fish Creek (Anchorage),Anchorage,6.4,Miles
AK_R_2040108_009,Freshwater,Water Supply,5,Not Supporting,Fish Creek (Anchorage),Anchorage,6.4,Miles
AK_R_2040108_022,Freshwater,Aquatic Life,5,Not Supporting,Wasilla Creek,"flows SW 23 mi. in Matanuska Valley to Palmer Slough,  11 mi. SW of Palmer, in Cook Inlet Lowlands",23.65,Miles
