Waterbody Type,Constituent Group,Constituent,TADA.CharacteristicName,Fraction,Use,Use Description,Type,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source(s),Listing Methodology,Notes,AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency,Exceed,Individual_Category,Use_Category
Marine,NA,NA,FECAL COLIFORM,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,ENTEROCOCCUS,NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_002,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,ENTEROCOCCUS,NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,CFU/100ML,NA,5,5,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,CFU/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Marine,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_B_3030311_003,Estuary,Beach,MPN/100ML,NA,7,7,1,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,DISSOLVED OXYGEN (DO),NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,8,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,TOTAL DISSOLVED SOLIDS,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,12,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,COPPER,Dissolved,Aquatic Life,NA,Chronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,4,2,1,2 years,10,2,10,No,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,COPPER,Dissolved,Aquatic Life,NA,Acute,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,4,2,1,2 years,5,2,5,No,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,COPPER,Dissolved,Aquatic Life,NA,Chronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,4,2,1,2 years,18,2,18,No,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,ZINC,Dissolved,Aquatic Life,NA,Acute,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,2,2,2,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,ZINC,Dissolved,Aquatic Life,NA,Chronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,2,2,2,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,ZINC,Dissolved,Aquatic Life,NA,Chronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,2,2,2,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.,N/A,3,3
Freshwater,NA,NA,TURBIDITY,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,NTU,NA,7,4,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,COPPER,Dissolved,Human Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,4,2,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,ZINC,Dissolved,Human Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,2,2,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,DISSOLVED OXYGEN (DO),NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,8,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,TURBIDITY,NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,NTU,NA,7,4,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,DISSOLVED OXYGEN (DO),NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,8,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,TURBIDITY,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,NTU,NA,7,4,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,COPPER,Dissolved,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,4,2,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,DISSOLVED OXYGEN (DO),NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,8,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,TOTAL DISSOLVED SOLIDS,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,MG/L,NA,12,4,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,ZINC,Dissolved,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,UG/L,DISSOLVED,2,2,2,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,TURBIDITY,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2030212_001,Lake,Lake,NTU,NA,7,4,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040106_003,Lake,Lake,CFU/100ML,NA,10,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040106_003,Lake,Lake,MPN/100ML,NA,10,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040106_003,Lake,Lake,CFU/100ML,NA,10,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040106_003,Lake,Lake,MPN/100ML,NA,10,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Aquaculture,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Aquaculture,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Aquaculture,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Aquaculture,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Drinking, Culinary, and Food Processing",NA,20,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Drinking, Culinary, and Food Processing",NA,20,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Drinking, Culinary, and Food Processing",NA,40,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,"Drinking, Culinary, and Food Processing",NA,40,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Industrial,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Industrial,NA,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Industrial,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,CFU/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Water Supply,Industrial,NA,400,CFU/100mL,Maximum,10% of samples,Water year average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_L_2040108_055,Lake,Lake,MPN/100ML,NA,18,11,2,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_060,Lake,Lake,CFU/100ML,NA,16,9,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_060,Lake,Lake,MPN/100ML,NA,16,9,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_060,Lake,Lake,CFU/100ML,NA,16,9,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_060,Lake,Lake,MPN/100ML,NA,16,9,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,ESCHERICHIA COLI,NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_063,Lake,Lake,CFU/100ML,NA,9,9,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_063,Lake,Lake,CFU/100ML,NA,7,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_063,Lake,Lake,MPN/100ML,NA,7,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_063,Lake,Lake,CFU/100ML,NA,7,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,NA,NA,FECAL COLIFORM,NA,Water Supply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_2040108_063,Lake,Lake,MPN/100ML,NA,7,7,2,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.,N/A,3,3
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,17,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Aquatic Life,NA,NA,5,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,7,mg/L,Minimum,10%,Daily average,DO must be >7 in waters used by anadromous or resident fish,AK WQS,NA,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,NA,NA,TURBIDITY,NA,Aquatic Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_8030609_003,Lake,Lake,NTU,NA,5,5,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Primary Contact Recreation,NA,NA,4,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,NA,NA,TURBIDITY,NA,Primary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_8030609_003,Lake,Lake,NTU,NA,5,5,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Secondary Contact Recreation,NA,NA,4,mg/L,Minimum,10%,Daily average,NA,NA,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,NA,NA,TURBIDITY,NA,Secondary Contact Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK_L_8030609_003,Lake,Lake,NTU,NA,5,5,2,2 years,20 days,2,20,Yes,No,No,Hardness dependency not applicable.,N/A,3,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,3,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Water Supply,Aquaculture,NA,7,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,Water Supply,Aquaculture,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,Water Supply,Aquaculture,NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,Water Supply,"Drinking, Culinary, and Food Processing",NA,500,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,NA,AK_L_8030609_003,Lake,Lake,MG/L,NA,10,10,2,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,No,2,2
