Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Min_Assess_Period_Yrs,Minimum number of data points,Min_Num_Pts,Other Requirements,Listing methodology,Notes
Freshwater,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Iron,IRON,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Iron,IRON,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Iron,IRON,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Lead,LEAD,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lead,LEAD,,Water Supply,Stock Watering,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Lead,LEAD,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lead,LEAD,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lead,LEAD,Dissolved,Aquatic Life,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Lead,LEAD,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Lead,LEAD,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Manganese,MANGANESE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Manganese,MANGANESE,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Manganese,MANGANESE,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Manganese,MANGANESE,,Human Health,Water and Aquatic Organisms,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Mercury,MERCURY,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nickel,NICKEL,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nitrate,NITRATE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nitrate and Nitrite,NITRATE + NITRITE,Total,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Nitrite,NITRITE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Industrial,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Industrial,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Seafood Processing,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,pH,pH,PH,,Water Supply,Industrial,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Primary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Secondary Contact Recreation,,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Industrial,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,pH,pH,PH,,Water Supply,Seafood Processing,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment,SEDIMENT,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment,SEDIMENT,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Sediment,Sediment,SEDIMENT,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,,Water Supply,Stock Watering,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Selenium,SELENIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Selenium,SELENIUM,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Selenium,SELENIUM,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Selenium,SELENIUM,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Silver,SILVER,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Silver,SILVER,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Strontium-90,STRONTIUM-90,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,"Drinking, Culinary, and Food Processing",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,,,None,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Seafood Processing,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Aquaculture,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Industrial,,,,,,,None,
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,Industrial,,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,,,,,,None,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,Primary Contact Recreation,,,,,,,,None,
Freshwater,Toxics,Toluene,TOLUENE,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toluene,TOLUENE,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Toluene,TOLUENE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Water Supply,Aquaculture,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Phosphorus,"TOTAL PHOSPHORUS, MIXED FORMS",Total,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Phosphorus,"TOTAL PHOSPHORUS, MIXED FORMS",Total,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Xylenes,TOTAL XYLENES,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Turbidity,Turbidity,TURBIDITY,,Primary Contact Recreation,,,2 years,2,20 days,,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)"
Marine,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,,Water Supply,Irrigation,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Zinc,ZINC,Dissolved,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
